Category,Subcategory,Current_Value,Variable_Name,File_Path,Line_Number,Storage_Recommendation,Key_Name,Type,Description,Environment_Specific,Localizable,Priority,Recommendation,Risk_Level,SQL_Table,SQL_Column,SQL_Default_Value,SQL_Reference,Migrated
default_values,Default Values,0,Unknown,ViewModels/AdvancedInventoryViewModel.cs,19,appsettings.json,DefaultValues:AdvancedInventoryViewModel,string,Default value: = 0,FALSE,FALSE,Low,Consider moving to constants class,Low - Code organization,,,,Query,FALSE
default_values,Default Values,FALSE,Unknown,ViewModels/AdvancedInventoryViewModel.cs,45,appsettings.json,DefaultValues:AdvancedInventoryViewModel,string,Default value: = false,FALSE,FALSE,Low,Consider moving to constants class,Low - Code organization,,,,,FALSE
default_values,Default Values,0,Unknown,ViewModels/AdvancedInventoryViewModel.cs,276,appsettings.json,DefaultValues:AdvancedInventoryViewModel,string,Default value: = 0,FALSE,FALSE,Low,Consider moving to constants class,Low - Code organization,,,,,FALSE
default_values,Default Values,0,Unknown,ViewModels/AdvancedInventoryViewModel.cs,282,appsettings.json,DefaultValues:AdvancedInventoryViewModel,string,Default value: = 0,FALSE,FALSE,Low,Consider moving to constants class,Low - Code organization,,,,,FALSE
default_values,Default Values,TRUE,Unknown,ViewModels/AdvancedInventoryViewModel.cs,317,appsettings.json,DefaultValues:AdvancedInventoryViewModel,string,Default value: = true,FALSE,FALSE,Low,Consider moving to constants class,Low - Code organization,,,,,FALSE
default_values,Default Values,FALSE,Unknown,ViewModels/AdvancedInventoryViewModel.cs,336,appsettings.json,DefaultValues:AdvancedInventoryViewModel,string,Default value: = false,FALSE,FALSE,Low,Consider moving to constants class,Low - Code organization,,,,,FALSE
default_values,Default Values,0,Unknown,ViewModels/AdvancedInventoryViewModel.cs,367,appsettings.json,DefaultValues:AdvancedInventoryViewModel,string,Default value: = 0,FALSE,FALSE,Low,Consider moving to constants class,Low - Code organization,,,,,FALSE
default_values,Default Values,TRUE,Unknown,ViewModels/AdvancedInventoryViewModel.cs,401,appsettings.json,DefaultValues:AdvancedInventoryViewModel,string,Default value: = true,FALSE,FALSE,Low,Consider moving to constants class,Low - Code organization,,,,,FALSE
default_values,Default Values,FALSE,Unknown,ViewModels/AdvancedInventoryViewModel.cs,420,appsettings.json,DefaultValues:AdvancedInventoryViewModel,string,Default value: = false,FALSE,FALSE,Low,Consider moving to constants class,Low - Code organization,,,,,FALSE
default_values,Default Values,TRUE,Unknown,ViewModels/AdvancedInventoryViewModel.cs,462,appsettings.json,DefaultValues:AdvancedInventoryViewModel,string,Default value: = true,FALSE,FALSE,Low,Consider moving to constants class,Low - Code organization,,,,,FALSE
default_values,Default Values,FALSE,Unknown,ViewModels/AdvancedInventoryViewModel.cs,492,appsettings.json,DefaultValues:AdvancedInventoryViewModel,string,Default value: = false,FALSE,FALSE,Low,Consider moving to constants class,Low - Code organization,,,,,FALSE
default_values,Default Values,TRUE,Unknown,ViewModels/AdvancedInventoryViewModel.cs,502,appsettings.json,DefaultValues:AdvancedInventoryViewModel,string,Default value: = true,FALSE,FALSE,Low,Consider moving to constants class,Low - Code organization,,,,,FALSE
default_values,Default Values,FALSE,Unknown,ViewModels/AdvancedInventoryViewModel.cs,521,appsettings.json,DefaultValues:AdvancedInventoryViewModel,string,Default value: = false,FALSE,FALSE,Low,Consider moving to constants class,Low - Code organization,,,,,FALSE
default_values,Default Values,FALSE,Unknown,ViewModels/AdvancedRemoveViewModel.cs,30,appsettings.json,DefaultValues:AdvancedRemoveViewModel,string,Default value: = false,FALSE,FALSE,Low,Consider moving to constants class,Low - Code organization,,,,,FALSE
default_values,Default Values,FALSE,Unknown,ViewModels/AdvancedRemoveViewModel.cs,35,appsettings.json,DefaultValues:AdvancedRemoveViewModel,string,Default value: = false,FALSE,FALSE,Low,Consider moving to constants class,Low - Code organization,,,,,FALSE
default_values,Default Values,FALSE,Unknown,ViewModels/AdvancedRemoveViewModel.cs,36,appsettings.json,DefaultValues:AdvancedRemoveViewModel,string,Default value: = false,FALSE,FALSE,Low,Consider moving to constants class,Low - Code organization,,,,,FALSE
default_values,Default Values,TRUE,Unknown,ViewModels/AdvancedRemoveViewModel.cs,214,appsettings.json,DefaultValues:AdvancedRemoveViewModel,string,Default value: = true,FALSE,FALSE,Low,Consider moving to constants class,Low - Code organization,,,,,FALSE
default_values,Default Values,FALSE,Unknown,ViewModels/AdvancedRemoveViewModel.cs,250,appsettings.json,DefaultValues:AdvancedRemoveViewModel,string,Default value: = false,FALSE,FALSE,Low,Consider moving to constants class,Low - Code organization,,,,,FALSE
default_values,Default Values,FALSE,Unknown,ViewModels/AdvancedRemoveViewModel.cs,315,appsettings.json,DefaultValues:AdvancedRemoveViewModel,string,Default value: = false,FALSE,FALSE,Low,Consider moving to constants class,Low - Code organization,,,,,FALSE
default_values,Default Values,FALSE,Unknown,ViewModels/AdvancedRemoveViewModel.cs,318,appsettings.json,DefaultValues:AdvancedRemoveViewModel,string,Default value: = false,FALSE,FALSE,Low,Consider moving to constants class,Low - Code organization,,,,,FALSE
default_values,Default Values,0,Unknown,App.xaml.cs,107,appsettings.json,DefaultValues:App.xaml,string,Default value: = 0,FALSE,FALSE,Low,Consider moving to constants class,Low - Code organization,,,,,FALSE
default_values,Default Values,TRUE,Unknown,Core_WPF/AsyncRelayCommand.cs,84,appsettings.json,DefaultValues:AsyncRelayCommand,string,Default value: = true,FALSE,FALSE,Low,Consider moving to constants class,Low - Code organization,,,,,FALSE
default_values,Default Values,FALSE,Unknown,Core_WPF/AsyncRelayCommand.cs,89,appsettings.json,DefaultValues:AsyncRelayCommand,string,Default value: = false,FALSE,FALSE,Low,Consider moving to constants class,Low - Code organization,,,,,FALSE
default_values,Default Values,TRUE,Unknown,Core_WPF/AsyncRelayCommand.cs,174,appsettings.json,DefaultValues:AsyncRelayCommand,string,Default value: = true,FALSE,FALSE,Low,Consider moving to constants class,Low - Code organization,,,,,FALSE
default_values,Default Values,FALSE,Unknown,Core_WPF/AsyncRelayCommand.cs,179,appsettings.json,DefaultValues:AsyncRelayCommand,string,Default value: = false,FALSE,FALSE,Low,Consider moving to constants class,Low - Code organization,,,,,FALSE
default_values,Default Values,TRUE,Unknown,Core_WPF/BooleanToVisibilityConverter.cs,17,appsettings.json,DefaultValues:BooleanToVisibilityConverter,string,Default value: = true,FALSE,FALSE,Low,Consider moving to constants class,Low - Code organization,,,,,FALSE
default_values,Default Values,TRUE,Unknown,Core_WPF/BooleanToVisibilityConverter.cs,35,appsettings.json,DefaultValues:BooleanToVisibilityConverter,string,Default value: = true,FALSE,FALSE,Low,Consider moving to constants class,Low - Code organization,,,,,FALSE
default_values,Default Values,TRUE,Unknown,Services_WPF/ConnectionService.cs,73,appsettings.json,DefaultValues:ConnectionService,string,Default value: = true,FALSE,FALSE,Low,Consider moving to constants class,Low - Code organization,,,,,FALSE
default_values,Default Values,TimeSpan.FromSeconds(30),Unknown,Services_WPF/ConnectionService.cs,79,appsettings.json,DefaultValues:ConnectionService,string,Default value: TimeSpan.FromSeconds(30),FALSE,FALSE,Low,Consider moving to constants class,Low - Code organization,,,,,FALSE
default_values,Default Values,FALSE,Unknown,Services_WPF/ConnectionService.cs,87,appsettings.json,DefaultValues:ConnectionService,string,Default value: = false,FALSE,FALSE,Low,Consider moving to constants class,Low - Code organization,,,,,FALSE
default_values,Default Values,FALSE,Unknown,Services_WPF/ConnectionService.cs,99,appsettings.json,DefaultValues:ConnectionService,string,Default value: = false,FALSE,FALSE,Low,Consider moving to constants class,Low - Code organization,,,,,FALSE
